jj,file,sentence,decision,rationale,binary_decision,jj_category,privacy
unparalleled,9311273,"Our objective is to provide an unparalleled , centralized , publicly available resource with comprehensive , expertly annotated data , and analysis tools that informs design and interpretation of environmental health studies and promotes novel insights into the etiologies of environmentally influenced diseases .",HYPE,"['hyperbolic', 'broader context']",1,novelty,No
first,9972347,"In the project 's first aim we rigorously address the role of B cell activation and autoantibody formation in pain , functional and neuropsychiatric outcomes after fracture injury in mice .",NOT HYPE,[],0,novelty,No
first,10123693,The proposed project is innovative because it is the first to summarize the latest evidence about MM and AD as well as quantify the mechanism of how MM could modify the risk factors of AD and potentially reduce the burden of ADRD .,HYPE,['priority claim'],1,novelty,No
systematic,10135353,"However , there are no existing , detailed , and quantitative techniques for the measurement of a broad range of endogenous microbial metabolites , nor has there been a systematic investigation of microbial communities for their metabolic functions .",HYPE,"['gratuitous', 'broader context']",1,rigour,No
detailed,9373805,The overall contract requirements broken out by contract year are detailed below .,NOT HYPE,[],0,rigour,No
creative,9208408,"The centralized resource offers complete communication - related consultation and professional creative services to support investigators who are applying for external grant funding , implementing interventions , recruiting study subjects , or disseminating research findings .",NOT HYPE,[],0,novelty,Yes
innovative,9639506,"Our multidisciplinary team ( Team A ) will employ an innovative reverse-engineering approach , starting from transcriptome analysis of archived clinical specimens with long - term clinical follow - up , then moving to multifold experimental verification of only clinically well - validated targets , to elucidate chemoprevention targets with the highest likelihood of successful clinical application .",HYPE,"['gratuitous', 'broader context']",1,novelty,Yes
cohesive,9831333,"Additionally , our organization of five clinical research units into a cohesive network provides extraordinary expertise in strategic locations to enhance participant recruitment from diverse communities with a particular focus on : children ; the elderly ; those with serious mental illness or substance abuse issues ; low - income individuals served by Medicaid ; those with HIV / AIDS ; and people of all ages who are minorities , underserved , and victims of health and environmental disparities .",HYPE,"['gratuitous', 'broader context']",1,rigour,No
careful,9124085,"Our analysis plan will be based on conditional logistic regression , including patients who are exposed to multiple agents simultaneously , with careful adjustment for potential confounders .",HYPE,['gratuitous'],1,rigour,No
advanced,9630184,"Research training in bioinformatics , molecular and cell biology , biomechanics , coagulation disorders , angiogenesis , and advanced outcomes research is provided with a focus on clinically relevant problems such as atherogenesis , intimal hyperplasia , prosthetic - host interactions , and pathologic thrombosis .",NOT HYPE,[],0,rigour,No
accurate,9593182,"Despite many years of research and in the face of rising suicides and a nationwide opiates public health emergency , we lack accurate and appreciable predictions of who will succumb to DoD and who will be shielded from them .",NOT HYPE,[],0,rigour,No
creative,9923337,"Coordination of the program will be done in a spirit of collaboration using creative , flexible , impartial approaches .",HYPE,"['gratuitous', 'coordinated']",1,novelty,No
novel,9312755,The work proposed in Aim 3 focuses on the novel dexamethasone - resistance genes identified in our siRNA survival - based screen in dexamethasone - sensitive mouse T- ALL cells .,NOT HYPE,[],0,novelty,No
advanced,9783328,"The Core supports advanced mammalian testing of the promising antidote candidates identified in projects 1 , 2 , and 3 .",HYPE,['gratuitous'],1,rigour,No
groundbreaking,9645567,"We plan to provide software support services for Product_A probes , a groundbreaking new tool for recording electrical signals from the brain .",HYPE,"['hyperbolic', 'coordinated']",1,novelty,Yes
groundbreaking,9935576,"These new resources will further increase the ability of the Department to attract researchers and continue the long tradition of ground breaking , cutting edge Biomedical Imaging Research at University .",HYPE,"['hyperbolic', 'coordinated', 'broader context']",1,novelty,Yes
creative,9631818,"Therefore , we are particularly interested in leveraging novel ideas from investigators with a variety of expertise in this DRP , and providing seed money for testing creative hypotheses and obtaining preliminary data for projects that are not supported by current or alternative funding sources .",HYPE,"['gratuitous', 'broader context']",1,novelty,No
revolutionary,9952877,"We now have an opportunity to isolate a large number and variety of anti-HCV bNAbs from humans who naturally cleared HCV infection , using methods that have been revolutionary in the study of bNAbs against influenza , HIV , and other viruses .",HYPE,['hyperbolic'],1,novelty,No
strong,9795977,"As a result , there is strong phenotypic homogeneity within breeds including breed - associated genetic diseases such as cancer .",NOT HYPE,[],0,rigour,No
strong,9339124,"We also observed that FA was correlated with astrogliosis in the gray matter , whereas mean diffusivity was correlated with increased cellularity and magnetization transfer ratio ( MTR ) demonstrated a strong correlation with both axon and myelin integrity .",NOT HYPE,[],0,rigour,No
unprecedented,9409504,"The technology is capable of unprecedented toxin characterization in a low cost , easy - to-use , rapid , highly sensitive , highly reproducible , in vitro , cartridge - based platform .",HYPE,"['hyperbolic', 'broader context']",1,novelty,Yes
rigorous,9916886,The proposed work will result in : ( 1 ) Development of algorithms with theoretical performance guarantees for combining information from datasets with small number of overlapping features ; ( 2 ) Development of rigorous statistical procedures for hypothesis testing in the presence of within - .,HYPE,['gratuitous'],1,rigour,No
rigorous,9069662,"By utilizing the expertise of an experienced multidisciplinary team and a comprehensive rigorous approach , we anticipate findings that will advance public health methods for monitoring underage drinking and harms and generate a paradigm shift for policy evaluation by enabling real - time investigation of impacts at fine temporal - spatial resolution .",HYPE,"['gratuitous', 'coordinated', 'broader context']",1,rigour,No
advanced,9134521,Existing collaborations under the first cycle o Project will be further developed with University_A as the primary training partner and University_B and University_C providing advanced trainings and mentorship in focus area topics .,HYPE,['gratuitous'],1,rigour,Yes
detailed,10126353,Data generated from these highly detailed analyses will delineate which cells retain persistent viral replication under ART ( if any ) and more importantly evaluate the contribution of CNS viral reservoirs to the early viral rebound in vivo .,HYPE,"['gratuitous', 'amplified']",1,rigour,No
innovative,9111953,"The program is designed to provide guidance and support to scholars to allow for the transition to productive , innovative and funded careers as independent investigators .",HYPE,"['gratuitous', 'coordinated']",1,novelty,No
systematic,9731881,"We propose to continue a systematic and coordinated approach across all six sites over the next five years to : 1 ) enhance the Cohort by enrolling young women aged 18?39 years who are relatives of enrolled family members and collecting detailed data on menstrual cycles , hormone exposure and physical activity using mobile app technology ; 2 ) retain and follow currently enrolled members of the Cohort through another wave of follow - up questionnaires , and linkages to cancer and death registries ; 3 ) create a big data repository of multiple ?omics ? datasets ( e.g. , whole genome , serial digital mammograms ) ; and 4 ) expand the biospecimen resources , including collection of tissue and repeat blood samples .",HYPE,['gratuitous'],1,rigour,Yes
detailed,9239323,"Second , we will perform detailed computational analyses and follow - up experiments to test the hypothesis that methylation causes local changes in DNA shape , which in turn modify TF binding affinity .",HYPE,['gratuitous'],1,rigour,No
sophisticated,9674740,Our understanding of memory B cell biology is based primarily on sophisticated experiments using genetically modified mice and model antigens .,HYPE,['gratuitous'],1,rigour,No
robust,9566648,Detailed knowledge of the T cell response may further contribute to the identification of robust correlates of protection in natural immunity and vaccination against DENV .,NOT HYPE,[],0,rigour,No
systematic,9312235,There are no systematic treatments to reduce pain or to increase limb growth .,NOT HYPE,[],0,rigour,No
nuanced,9108106,"More effective prevention and treatment of healthcare associated infections will require a more nuanced understanding of how antibiotic treatment and host status jointly impact host microbial communities , and in turn , how pathogens exploit these disrupted communities to cause disease .",HYPE,['gratuitous'],1,rigour,No
advanced,9251731,"His scientific advisors include Dr. Jim Goodwin , a leading expert in using Medicare data for aging research , Dr. Ruben Amarasingham , an expert in the use of electronic heath record ( EHR ) data for CER , and Dr. Song Zhang , an expert in advanced biostatics .",HYPE,['gratuitous'],1,rigour,
robust,9771378,We observed that p53 activation was essential for a robust response to sunitinib .,NOT HYPE,[],0,rigour,No
innovative,9291690,"In our opinion , this proposed research is innovative because few labs are currently focused on the role of axonal mRNA transport and local translation in axonal maintenance , repair and pathophysiology .",NOT HYPE,[],0,novelty,No
revolutionary,9566551,Guest lecturers contribute to the course and are encouraged to highlight their own applications of these revolutionary technologies .,HYPE,['hyperbolic'],1,novelty,No
innovative,9876723,"Specifically , the Investigators collectively possess expertise in endoscopic device design , clinical colonoscopy , and assessment and validation of innovative gastrointestinal technologies .",HYPE,['gratuitous'],1,novelty,No
nuanced,9655018,"However , the recent advent of novel tools for probing neural circuits in vivo has enabled a deeper and more nuanced understanding of basal forebrain organization and role in cognition .",HYPE,"['gratuitous', 'coordinated', 'broader context']",1,rigour,No
sophisticated,9965494,"Despite these limitations , people subjectively report rich perceptual experiences and they demonstrate a sophisticated ability to navigate the visual environment .",NOT HYPE,[],0,rigour,No
sophisticated,8998271,"Data for some analyses will be supplemented by routine extrapolation , and Core personnel will consult with Project Leaders in developing sophisticated interpretation of data and experimental parameters .",HYPE,['gratuitous'],1,rigour,No
unique,9659508,"likely influences binge eating in lesbian women , but the role of unique minority experiences in binge eating has not been examined using EMA .",HYPE,['gratuitous'],1,novelty,No
careful,9496083,"By careful analysis of whole mount and histological specimens , we have documented the synchronized deterioration of select chondrocranial elements with the appearance and superimposition of particular dermal bones of the growing dermatocranium .",HYPE,['gratuitous'],1,rigour,No
unparalleled,10146516,"The proposed project will allow the generation and testing of hypotheses concerning the control of specific cell types with unparalleled biological relevance , precision , and speed .",HYPE,['hyperbolic'],1,novelty,No
nuanced,9767900,"However , a growing body of literature now indicates a more nuanced role .",NOT HYPE,[],0,rigour,No
creative,9073790,Objective 2 : Stimulate the development of trainees ' creative and critical thinking skills through an innovative course that will be part of the summer experience .,NOT HYPE,['broader context'],0,novelty,No
cohesive,9916523,represent a cohesive program of integrated and interdisciplinary research approaches that comprehensively address the objectives and purpose of Project A .,HYPE,"['coordinated', 'broader context']",1,rigour,Yes
unprecedented,9168309,This is largely due to unprecedented rvh gene family expansion .,HYPE,['hyperbolic'],1,novelty,No
accurate,9204412,"The primary challenge is the lack of an accurate , quantitative , and non-invasive way to assess an individual 's inter-lobar collateral ventilation ( CV ) .",NOT HYPE,[],0,rigour,No
robust,9575483,"This robust , ?exible , and easily adopted platform should encourage scientists , engineers , and clinicians to join in this exciting work ; it should foster a collaborative environment that enables diverse investigators to work together and complement each other .",HYPE,"['gratuitous', 'coordinated', 'broader context']",1,rigour,No
rigorous,9135381,The Graduate Program in Medical Physics at the University provides trainees with a complete curriculum of rigorous courses combined with mentored research in medical imaging and radiation therapy physics .,HYPE,['gratuitous'],1,rigour,Yes
cohesive,9967709,"teams have formed a cohesive Community , returning to our center for multiple workshops and hands - on training experiential sessions , receiving follow - on consultations leading to pilot awards and extramural funding , and have publishing in peer-reviewed journals .",HYPE,['gratuitous'],1,rigour,Yes
quality,8998408,"The CPDM manages our centralized Clinical Trials Management System ( CTMS ) , Velos , organizes and performs quality assurance and QC / monitoring of clinical trials across the center , and directly manages the complex , ongoing and recurring activities of our mandatory clinical research review committees .",NOT HYPE,[],0,rigour,
accurate,9842695,The program has three Specific Aims : 1 ) Identify novel cellular and molecular mechanisms that contribute to the pathogenesis of leukemia and related diseases ; 2 ) Generate accurate animal models of leukemia to improve the understanding of pathogenesis and to develop targeted anti- leukemic agents ; and 3 ) Design and implement clinical trials to translate laboratory research discoveries made within the Program and Research Institute as a whole .,HYPE,['gratuitous'],1,rigour,Yes
groundbreaking,9542559,"This proposal will provide groundbreaking discoveries of : 1 ) roles of immunological and neuronal S1 P5 in EAE pathogenesis , 2 ) new functions of S1 P4 in T cell regulation and EAE development , 3 ) deciphering S1 PR signaling complexity in T cells and oligodendrocytes , 4 ) a novel MOA of fingolimod that astrocyte S1 P1 controls VB12 homeostasis in the CNS , and 5 ) a new therapeutic strategy , i.e. , VB12 supplementation to fingolimod therapy .",HYPE,['hyperbolic'],1,novelty,No
accurate,9475009,"Participation in this cooperative agreement program will not only benefit the FDA , but the lab and the State as well because all aspects of this project add value to our product - namely , accurate and timely analysis of test results to protect animal and human health from chemical contaminants .",HYPE,"['gratuitous', 'coordinated']",1,rigour,Yes
robust,9007958,"This project aims to develop affordable , robust , calibrated methods to assign causes to individual deaths and characterize the distribution of deaths by cause by completing the following four activities : ( 1 ) develop a new standard , automated , statistical method to assign causes to deaths from VA data - InSilicoVA , ( 2 ) use additional facility - based data and debiased physician - assigned causes to create new , improved symptom - cause information modules used by InSilicoVA to inform the assignment of causes , ( 3 ) conduct an exhaustive , fair comparison of existing automated methods for assigning causes from VA data , including InSilicoVA , and ( 4 ) reduce measurement error in VA data by conducting fieldwork at multiple long - term field sites in Africa to understand and standardize the VA interview and then test the effectiveness of a new interview design and language processing procedures informed by that understanding .",HYPE,"['gratuitous', 'coordinated', 'broader context']",1,rigour,
scientific,9143956,"( 2 ) foster scientific innovation and enhance the productivity of investigators , and ( 3 ) ensure efficient and responsive administrative and fiscal operations .",HYPE,['gratuitous'],1,rigour,No
unparalleled,10267382,"COVID - 19 has created an unparalleled health crisis across the globe that has ravaged underserved and vulnerable populations in the US , including in the territories of Puerto Rico ( PR ) and the U.S. Virgin Islands ( USVI ) .",HYPE,['hyperbolic'],1,novelty,No
first,9050625,"All of these viruses bind bacteria and / or bacterial surface polysaccharides , raising the possibility that bacteria may deliver virions to host cells to initiat the first viral replication cycle in the gut .",NOT HYPE,[],0,novelty,No
sophisticated,9273185,This represents a highly sophisticated mechanism put in place by HIV to prevent antibody - mediated clearance of virally infected cells .,HYPE,"['gratuitous', 'amplified']",1,rigour,No
groundbreaking,9492303,"Faculty in the Center and its academic home , the School of Pharmacy , have already reported groundbreaking observations on the roles of cannabinoids and non-cannabinoids in the etiology of weight control , the control of the immune system , treatment of cancer , control of nausea and vomiting in patients receiving anti-neoplastic treatment , glaucoma , and the development of sigma receptor agonists in the treatment of cocaine and methamphetamine abuse .",HYPE,['hyperbolic'],1,novelty,No
latest,10082909,"Large meetings , such as the Conference A and the Conference B , are important venues for scientific exchange regarding the latest advances in HIV Comorbidity research , but smaller , more intimate formats that emphasize discussion and networking are critical to the career development of HIV Comorbidity investigators .",HYPE,"['gratuitous', 'broader context']",1,novelty,Yes
strong,9834553,Strong scientific evidence has evolved over the past 30 - 40 years showing that any of a variety of fusion proteins resulting from chromosomal translocations can drive the formation of deadly forms of cancer .,HYPE,['gratuitous'],1,rigour,No
accurate,9354071,"To accomplish this , the MR imaging and analysis capabilities already developed will be combined with highly accurate , imaging - based measurement and registration methodologies in order to non- invasively quantify complete joint anatomy and tissue dynamics during functional movements .",HYPE,"['gratuitous', 'amplified']",1,rigour,No
powerful,8957404,"This approach proved to be a powerful complement to traditional genetics strategies , leading to the discovery of novel deafness genes previously undetected using genetic strategies alone .",HYPE,['gratuitous'],1,rigour,No
latest,100207,"During Year 1 of the award , the Organization will expand and intensify EPP and strengthen its curriculum based upon the latest research .",HYPE,['gratuitous'],1,novelty,Yes
revolutionary,9065529,"The results of this study may likely lead to clinical trials , with a revolutionary new way of treating patients with brin cancer .",HYPE,"['hyperbolic', 'coordinated']",1,novelty,No
revolutionary,9150568,"Thus , a workflow which can save time compared to current techniques enabled by the proposed revolutionary imaging technology should allow for a quantum leap in diagnosis and treatment for patients suffering from an acute ischemic stroke .",HYPE,"['hyperbolic', 'broader context']",1,novelty,No
novel,9887609,"In this proposed study , we will conduct a large case - cohort study , building upon three Asian and European cohorts to determine whether our novel findings ?",HYPE,"['gratuitous', 'broader context']",1,novelty,No
powerful,9901446,We will add TTT since it appears to be quite powerful in promoting paretic hand use based on the Stroke Impact Scale Hand Section .,HYPE,['gratuitous'],1,rigour,No
advanced,9311297,"This includes super-resolution , 2 - photon -excited fluorescence , multi-excitation TIRF , and other advanced microscopies .",HYPE,['gratuitous'],1,rigour,No
unprecedented,9029656,"A unified , data-science approach to health NLP enables the exploration of methods and solutions unprecedented up to now .",HYPE,['hyperbolic'],1,novelty,No
nuanced,9589622,"Accordingly , our project will develop a more nuanced understanding of how , when and for whom the caregiver burden theory does apply and identify alternative explanations for when the burden theory does not fit our data .",HYPE,['gratuitous'],1,rigour,No
careful,10175761,"The Project uses an eight - pronged approach to safety and teaches adults what policies must be in place , how to enforce policies , careful hiring and screening of new employees , addressing and stopping sexual and physical boundary crossing , acknowledging boundary crossings as gateways to sexual abuse , and monitoring staff who violate boundary requirements and codes of conduct with appropriate sanctions that reflect the seriousness of these actions .",HYPE,['gratuitous'],1,rigour,Yes
rigorous,10054300,"In this Training Application to the Center , the University Department of Global Health will collaborate with two long -standing partners in Nepal and Kenya to address cardiometabolic diseases and risk factors through rigorous educational programs , strong mentorship and relevant research experiences .",HYPE,"['gratuitous', 'broader context']",1,rigour,Yes
rigorous,9523184,"Key elements in this training program include 1 ) strong mentor - based training in basic and clinical investigation , 2 ) rigorous didactic curriculum including a core curriculum in metabolism as well as specific training in research methodologies and grant writing , 3 ) a lecture series focused on metabolism with internal and external speakers , 4 ) tailored career mentoring with individual development plans to ensure a successful transition to the next stage of their career , and 4 ) presentation and outreach opportunities to develop communication skills .",HYPE,['gratuitous'],1,rigour,No
nuanced,9167230,"This proposal consists of two interrelated studies that together explore the link between psychological well - being and cardiac - health , with nuanced exploration of biobehavioral mechanisms .",HYPE,['gratuitous'],1,rigour,No
powerful,9268657,There is a pressing need to develop powerful and robust analytic methods for WGS that can accelerate genetic discoveries .,HYPE,"['gratuitous', 'coordinated']",1,rigour,No
powerful,9214258,"Once integrated with human genetic information , this will enable us to gain powerful insights into how abnormalities in specific gene networks cause human neuropsychiatric disorders .",HYPE,['gratuitous'],1,rigour,No
reproducible,9748815,"Robust and reliable methods for the manipulation of human cell lines by passaging , plating and labeling are required to enable consistent , reproducible screens to be performed .",HYPE,"['coordinated', 'broader context']",1,rigour,No
groundbreaking,9117554,Understanding the multiple ubiquitin roles in cellular response to stress and the specificity of each distinct pathwa will provide groundbreaking insights into innovative strategies for treatment and early diagnosis of many damage - related disorders .,HYPE,['hyperbolic'],1,novelty,No
accurate,10064546,"The proposed interventions are the same as in the Bundle ( e.g. , registry / audit and feedback , simplified treatment regimens , accurate Blood Pressure measurement ) but implementation of the components of the bundle will be adapted for delivery in the community .",HYPE,['gratuitous'],1,rigour,Yes
unparalleled,9954328,"In contrast , Centers have unparalleled expertise in HIV - related basic , clinical and social / behavioral research , but lack robust resources and expertise in aging biology , geriatric clinical phenotypes and functional assessments .",HYPE,['hyperbolic'],1,novelty,Yes
creative,9322809,5 ) Identify pioneering scientific initiatives aligned with those identified by the Institution Strategic Plan for HIV - related research and actuate them by assembling interdisciplinary research / community Region B -CFAR teams and creative collaborations locally with other University HIV investigators and nationally with other CFARs .,HYPE,"['gratuitous', 'broader context']",1,novelty,Yes
strong,9637277,Strong suppression of protein translation is found in these hibernating animals and is important to their hypoxia resistance .,NOT HYPE,[],0,rigour,No
